7331,12516,12526,12540
296,12530,14472
295,2031,7452,14472
7393,7514,12557,14473
7322,7394,12558,14476
2060,7328,7397,14486
2041,7398,15277
2027,14489
2053,14475,14491,15652
7393,7514,12556
310,7456,12508,14495
2040,12549,12580,14487
2083,7461,12536,12562
7461,12537,12550,15280
7529,12541,12551,15278
7513,7574,14491,15652
304,7456,12571,14495
2057,7633,12559,14492
7516,12575,14492,15276
2097,7513,7574,14500
2102,12570,14501,15694
2103,2104,7631
2106,2107,14502
2107,2108,15655
2109,7632,15690
2070,2138,12556,15279
7743,7744,12558,14496
2112,12561,12593
7582,7638,12564,14504
324,12587,14515,15653
323,2125,14515,15653
326,2125,7679,15653
325,7624,7679,15653
2126,7624,14508,15652
329,7681,15282,15691
328,2127,7681,15691
331,7625,7682,15691
330,2128,7682,15691
2129,2130,7683,15691
334,7632,14516,15690
333,2133,14516,15690
336,2133,12601,15690
335,2134,12601,15690
7696,12579,12625,14497
2172,7575,7576,12606
2147,14509,15283
2155,7733,14507,15281
7676,12568,12612,14507
7573,7678,7734,14511
2160,2161,12614,15692
2161,2162,12615,15692
12570,12600,12619,14501
2139,7742,14513
7697,12580,12627
2174,7937,12641,15565
7636,7754,12594,12608
7703,7755,14504,14509
2180,7640,12610,15293
2193,7692,7741,14517
354,2203,14519,15285
353,12629,14519,15285
7677,7832,12634,12635
2237,7741,7792,14517
7746,7796,7847,12638
7747,7748,12653,15654
2224,7849,12625,15654
7753,7799,7900,12644
7755,12657,14522,15292
2231,7816,7866,14514
7784,7837,12667,14521
2221,7793,12671,12672
2246,7800,12674,15567
7901,12657,14523,15292
7908,12658,15294
12667,12668,12683,14521
7844,12672,12687,12707
7849,7891,14534
7883,7926,7927,12696
7884,7929,7968,12684
2294,7970,14525,14540
381,14526,15296
2299,7888,7932,12705
2300,12651,12689,12709
2272,2305,12724,15568
2308,7898,12690,12725
7951,7952,7995,12679
2325,8012,12682,12698
374,8020,12702
2331,2366,7932,12705
7976,8028,14534
7938,7982,12691,12727
2341,7990,8038,14538
12703,12704,12733,15313
8075,12687,12707,14554
2392,8078,14541
7980,8032,12737,12749
2400,7981,14548
2373,7986,12739,15301
2342,8039,15298,15572
400,7994,12729
8062,8107,14546,15305
2332,2430,15306,15310
2398,12748,14537,15307
8087,8088,8127,14550
8090,8091,12753,14551
2377,12755,15571
393,12729,12756,15571
2383,8058,8106,14569
406,14555,14571,15310
8091,12753,12754,14582
2457,8181,14563,15313
2428,11974,15314
402,12807,14571,15310
8149,8186,12746
2438,14565,14575,14599
2465,12767,12781,14561
12751,12769,12782
2448,8197,14567,15311
2471,8142,8171,12789
8144,8177,12790,14578
2430,8183,15306,15316
8218,8219,12747,12764
8271,12769,12782,14580
2528,8158,12785,14582
425,4917,14585
2519,8224,12780,12811
2524,2525,12783,15322
8196,8232,12816,15318
2492,8276,14591,14592
8205,8239,14598,15569
2500,8209,14593,15320
418,434,14585
2507,8292,12805,12820
2560,8253,12797,15321
8187,8257,8298
2513,8258
8220,8221,12824,15317
2489,8230,8310,12813
8276,8277,12828,14592
8321,12804,14603,15325
425,2587,14585
2564,8297,12834,14588
12823,12837,12856,14595
8302,12809,12838,12839
2552,8339,12827
2559,8320,12868,14603
2569,8402,14596,14604
2573,8373,12846,12847
2630,8342,12829,14613
2581,8348,12830,14614
8348,8382,8383,15577
8321,8384,15325
2615,14638,15326
2616,8397,12834
8360,12837,12856,14615
2648,8261,12872,14608
2596,2655,8366,14609
8333,8367,12859,12874
8347
2683,8359,12871,14620
8371,8405,8406
8406,8407,14612,14624
8372,8407,8408,14625
8408,8440,12877,14605
2631,2693,12862,14636
2667,8378,12879,12890
